breath_id,train_test,cluster_no
0,test,3
8,test,3
11,test,3
24,test,0
31,test,1
33,test,0
38,test,2
45,test,0
50,test,0
51,test,3
56,test,0
62,test,0
65,test,2
74,test,3
78,test,2
80,test,3
81,test,3
85,test,0
86,test,2
88,test,3
91,test,2
95,test,0
96,test,2
97,test,2
98,test,3
99,test,0
102,test,0
103,test,0
105,test,0
107,test,0
109,test,3
110,test,3
113,test,2
116,test,0
121,test,3
123,test,0
124,test,2
127,test,0
128,test,2
132,test,3
137,test,0
139,test,1
140,test,0
145,test,1
153,test,0
158,test,0
159,test,3
161,test,3
168,test,1
171,test,3
174,test,3
178,test,2
180,test,3
182,test,1
185,test,0
194,test,3
195,test,1
196,test,3
198,test,3
200,test,0
205,test,0
206,test,0
209,test,3
210,test,2
215,test,2
220,test,3
222,test,1
228,test,1
232,test,3
233,test,3
236,test,0
243,test,0
246,test,3
247,test,1
248,test,3
250,test,3
252,test,0
253,test,0
260,test,2
261,test,3
265,test,3
266,test,3
268,test,0
269,test,0
272,test,0
273,test,3
274,test,0
276,test,3
279,test,1
282,test,3
288,test,0
291,test,0
293,test,2
295,test,3
300,test,0
301,test,0
306,test,1
308,test,0
310,test,1
311,test,2
312,test,0
315,test,0
318,test,0
320,test,2
322,test,3
330,test,0
336,test,1
339,test,0
341,test,0
343,test,1
347,test,1
348,test,3
350,test,3
351,test,3
355,test,3
360,test,3
361,test,0
365,test,1
368,test,0
374,test,0
375,test,2
378,test,1
380,test,3
382,test,2
383,test,0
384,test,3
390,test,2
393,test,3
396,test,0
398,test,0
401,test,0
406,test,2
408,test,3
409,test,1
419,test,1
420,test,3
421,test,3
424,test,2
425,test,1
426,test,0
431,test,0
435,test,2
440,test,2
444,test,0
445,test,3
447,test,3
449,test,3
452,test,3
457,test,2
460,test,0
465,test,1
466,test,0
467,test,2
468,test,2
473,test,2
480,test,2
481,test,1
483,test,2
485,test,1
487,test,1
488,test,2
491,test,0
492,test,1
493,test,0
495,test,3
497,test,3
498,test,3
502,test,3
503,test,2
507,test,1
509,test,1
514,test,0
515,test,3
517,test,0
520,test,0
522,test,3
524,test,3
525,test,0
527,test,0
529,test,3
531,test,3
533,test,3
537,test,2
544,test,1
548,test,2
549,test,1
550,test,3
552,test,0
554,test,3
558,test,2
562,test,0
563,test,3
566,test,0
568,test,3
569,test,0
570,test,0
571,test,2
572,test,0
576,test,1
577,test,0
580,test,3
585,test,0
586,test,0
590,test,3
593,test,0
599,test,0
604,test,0
605,test,3
607,test,3
612,test,0
613,test,0
614,test,1
625,test,0
626,test,2
629,test,3
632,test,3
633,test,2
635,test,0
636,test,3
640,test,0
641,test,2
642,test,3
643,test,0
648,test,3
650,test,2
651,test,2
653,test,1
656,test,0
660,test,1
662,test,1
664,test,1
666,test,3
669,test,2
672,test,0
676,test,1
680,test,3
686,test,1
687,test,2
688,test,1
690,test,3
694,test,2
695,test,0
696,test,0
700,test,0
702,test,1
706,test,0
707,test,3
710,test,0
715,test,1
716,test,3
721,test,0
