breath_id,train_test,cluster_no
0,test,0
8,test,0
11,test,0
24,test,2
31,test,1
33,test,2
38,test,3
45,test,2
50,test,2
51,test,0
56,test,2
62,test,2
65,test,3
74,test,0
78,test,3
80,test,0
81,test,0
85,test,2
86,test,3
88,test,0
91,test,3
95,test,2
96,test,3
97,test,3
98,test,0
99,test,2
102,test,2
103,test,2
105,test,2
107,test,2
109,test,0
110,test,0
113,test,3
116,test,2
121,test,0
123,test,2
124,test,3
127,test,2
128,test,3
132,test,0
137,test,2
139,test,1
140,test,2
145,test,1
153,test,2
158,test,2
159,test,0
161,test,0
168,test,1
171,test,0
174,test,0
178,test,3
180,test,0
182,test,1
185,test,2
194,test,0
195,test,1
196,test,0
198,test,0
200,test,2
205,test,2
206,test,2
209,test,0
210,test,3
215,test,3
220,test,0
222,test,1
228,test,1
232,test,0
233,test,0
236,test,2
243,test,2
246,test,0
247,test,1
248,test,0
250,test,0
252,test,2
253,test,2
260,test,3
261,test,0
265,test,0
266,test,0
268,test,2
269,test,2
272,test,2
273,test,0
274,test,2
276,test,0
279,test,1
282,test,0
288,test,2
291,test,2
293,test,3
295,test,0
300,test,2
301,test,2
306,test,1
308,test,2
310,test,1
311,test,3
312,test,2
315,test,2
318,test,2
320,test,3
322,test,0
330,test,2
336,test,1
339,test,2
341,test,2
343,test,1
347,test,1
348,test,0
350,test,0
351,test,0
355,test,0
360,test,0
361,test,2
365,test,1
368,test,2
374,test,2
375,test,3
378,test,1
380,test,0
382,test,3
383,test,2
384,test,0
390,test,3
393,test,0
396,test,2
398,test,2
401,test,2
406,test,3
408,test,0
409,test,1
419,test,1
420,test,0
421,test,0
424,test,3
425,test,1
426,test,2
431,test,2
435,test,3
440,test,3
444,test,2
445,test,0
447,test,0
449,test,0
452,test,0
457,test,3
460,test,2
465,test,1
466,test,2
467,test,3
468,test,3
473,test,3
480,test,3
481,test,1
483,test,3
485,test,1
487,test,1
488,test,3
491,test,2
492,test,1
493,test,2
495,test,0
497,test,0
498,test,0
502,test,0
503,test,3
507,test,1
509,test,1
514,test,2
515,test,0
517,test,2
520,test,2
522,test,0
524,test,0
525,test,2
527,test,2
529,test,0
531,test,0
533,test,0
537,test,3
544,test,1
548,test,3
549,test,1
550,test,0
552,test,2
554,test,0
558,test,3
562,test,2
563,test,0
566,test,2
568,test,0
569,test,2
570,test,2
571,test,3
572,test,2
576,test,1
577,test,2
580,test,0
585,test,2
586,test,2
